Question,Answer
The cat sat quietly on the couch,The cat sat quietly on the couch
I enjoy walking in the fresh air,I enjoy walking in the fresh air
She loves wearing bright red shoes,She loves wearing bright red shoes
The sun sets behind the tall trees,The sun sets behind the tall trees
The dog barked at the delivery man,The dog barked at the delivery man
He wrote a note with a blue pen,He wrote a note with a blue pen
We danced under the twinkling stars,We danced under the twinkling stars
The fire burned brightly in the room,The fire burned brightly in the room
I baked cookies for my little sister,I baked cookies for my little sister
The rain fell softly on the rooftop,The rain fell softly on the rooftop
She opened the gift with a big smile,She opened the gift with a big smile
The leaves swirled in the autumn wind,The leaves swirled in the autumn wind
We played soccer in the empty field,We played soccer in the empty field
The moon shone brightly in the night,The moon shone brightly in the night
I found a coin on the dusty ground,I found a coin on the dusty ground
The bird sang sweetly in the morning,The bird sang sweetly in the morning
He wore a jacket to stay warm today,He wore a jacket to stay warm today
We watched the waves crash on the beach,We watched the waves crash on the beach
The stars sparkled in the clear sky,The stars sparkled in the clear sky
She laughed loudly at the silly joke,She laughed loudly at the silly joke
The train arrived at the empty station,The train arrived at the empty station
I enjoy tea on cold winter mornings,I enjoy tea on cold winter mornings
The child drew pictures with crayons,The child drew pictures with crayons
The flowers bloom in the early spring,The flowers bloom in the early spring
The car stopped at the traffic light,The car stopped at the traffic light
We walked along the quiet sandy beach,We walked along the quiet sandy beach
The cat chased a mouse across the floor,The cat chased a mouse across the floor
The baby smiled at the shiny balloon,The baby smiled at the shiny balloon
The clouds drifted slowly through the sky,The clouds drifted slowly through the sky
She planted flowers in her garden bed,She planted flowers in her garden bed
The puppy wagged its tail with joy,The puppy wagged its tail with joy
The wind blew the leaves down the street,The wind blew the leaves down the street
The kids built a sandcastle by the sea,The kids built a sandcastle by the sea
I found a feather on the hiking trail,I found a feather on the hiking trail
The bakery smelled like sweet cinnamon,The bakery smelled like sweet cinnamon
We roasted marshmallows by the fire,We roasted marshmallows by the fire
The girl painted a picture of a tree,The girl painted a picture of a tree
The dog lay sleeping under the warm sun,The dog lay sleeping under the warm sun
The stars twinkled brightly in the sky,The stars twinkled brightly in the sky
The kids laughed loudly at the puppet show,The kids laughed loudly at the puppet show
We watched a movie on a rainy day,We watched a movie on a rainy day
The snow sparkled in the bright sunlight,The snow sparkled in the bright sunlight
She wore a red scarf on a windy day,She wore a red scarf on a windy day
I love the smell of fresh baked bread,I love the smell of fresh baked bread
The candle flickered in the quiet room,The candle flickered in the quiet room
The waves splashed gently on the shore,The waves splashed gently on the shore
We saw a rainbow after the heavy rain,We saw a rainbow after the heavy rain
The cat sleeps on the soft pillow,The cat sleeps on the soft pillow
The dog runs in the green yard,The dog runs in the green yard
The sun sets behind the mountains,The sun sets behind the mountains
She sings songs in the small room,She sings songs in the small room
I love drinking tea in the morning,I love drinking tea in the morning
The baby laughs at the bouncing ball,The baby laughs at the bouncing ball
We walk together on the beach sand,We walk together on the beach sand
The fire burns brightly in the night,The fire burns brightly in the night
The bird flies high in the blue sky,The bird flies high in the blue sky
The stars shine in the dark night,The stars shine in the dark night
He found a coin on the dirt road,He found a coin on the dirt road
She plants flowers in the front yard,She plants flowers in the front yard
The rain falls softly on the rooftop,The rain falls softly on the rooftop
The kids play soccer in the open field,The kids play soccer in the open field
The waves crash loudly on the rocky shore,The waves crash loudly on the rocky shore
The baby sleeps in her small pink crib,The baby sleeps in her small pink crib
We built sandcastles near the water,We built sandcastles near the water
The dog barks loudly at the new mailman,The dog barks loudly at the new mailman
The candle flickers on the wooden table,The candle flickers on the wooden table
The flowers bloom in the spring sunshine,The flowers bloom in the spring sunshine
The cat jumps onto the tall bookshelf,The cat jumps onto the tall bookshelf
The kids laugh at the funny clown,The kids laugh at the funny clown
I enjoy reading books at sunset,I enjoy reading books at sunset
The snow falls gently on the trees,The snow falls gently on the trees
We walked slowly along the riverbank,We walked slowly along the riverbank
The dog chased the ball across the yard,The dog chased the ball across the yard
The sun rises over the calm ocean,The sun rises over the calm ocean
She painted flowers on the canvas,She painted flowers on the canvas
The clock ticks loudly in the room,The clock ticks loudly in the room
The baby giggles at the red balloon,The baby giggles at the red balloon
