Question,Answer
She went to the store,She went to the store
The cat is sleeping,The cat is sleeping
A storm is coming,A storm is coming
He likes to read,He likes to read
She sings beautifully,She sings beautifully
The sun is shining,The sun is shining
They play chess,They play chess
I love my dog,I love my dog
Birds are flying,Birds are flying
The grass is green,The grass is green
She bakes bread,She bakes bread
The sky is blue,The sky is blue
He paints well,He paints well
She rides horses,She rides horses
He is very kind,He is very kind
The cake is sweet,The cake is sweet
I need coffee,I need coffee
We are friends,We are friends
They dance well,They dance well
She draws beautifully,She draws beautifully
He plays guitar,He plays guitar
The river flows,The river flows
She loves flowers,She loves flowers
The moon is full,The moon is full
He rides a bike,He rides a bike
She loves tea,She loves tea
I feel happy,I feel happy
They enjoy travel,They enjoy travel
She swims fast,She swims fast
He writes poems,He writes poems
The beach is sandy,The beach is sandy
They are singing,They are singing
She loves art,She loves art
We are laughing,We are laughing
She likes dancing,She likes dancing
He enjoys cooking,He enjoys cooking
The car is fast,The car is fast
The cat is black,The cat is black
He is jogging,He is jogging
The apple is red,The apple is red
The fish swims,The fish swims
She paints walls,She paints walls
He reads books,He reads books
The dog barks,The dog barks
She likes puzzles,She likes puzzles
He drives cars,He drives cars
The coffee is hot,The coffee is hot
The cake is moist,The cake is moist
She loves cats,She loves cats
He is smiling,He is smiling
The milk is cold,The milk is cold
The tree is tall,The tree is tall
The dog runs,The dog runs
She writes books,She writes books
He builds houses,He builds houses
The sun sets,The sun sets
She likes singing,She likes singing
He loves music,He loves music
The sky is gray,The sky is gray
She plays chess,She plays chess
He cooks well,He cooks well
The snow falls,The snow falls
She loves roses,She loves roses
He is reading,He is reading
The book is old,The book is old
The bird sings,The bird sings
She likes apples,She likes apples
He is biking,He is biking
The tea is hot,The tea is hot
The bread is warm,The bread is warm
She likes movies,She likes movies
He likes hiking,He likes hiking
The dog barks loud,The dog barks loud
She reads a lot,She reads a lot
He likes games,He likes games
The water is cool,The water is cool
The wind blows,The wind blows
She knits hats,She knits hats
He loves fishing,He loves fishing
The fire is hot,The fire is hot
The sun rises,The sun rises
She loves dancing,She loves dancing
He likes sports,He likes sports
The cat purrs,The cat purrs
She likes music,She likes music
He runs fast,He runs fast
The soup is hot,The soup is hot
The sun shines,The sun shines

